id,severity,confidence,category,root_cause_candidate,file,line_start,line_end,symbol,description,evidence,reproduction,impact,recommended_fix,regression_test,status,reviewer,tools_used,adjudicacao
F-096,HIGH,HIGH,stored-xss,,conversas/app/routers/webhook.py,418,427,_process_incoming_message media_meta,The mime_type of the inbound media payload is persisted verbatim into MediaAsset.meta_mime_type with no media_policy validation (media_policy is not imported here); store_bytes never overwrites an already-set value; routers/media.py serves the file with that value as Content-Type and content_disposition_type=inline,"webhook.py:310 meta_mime_type from media_data then 420-427 MediaAsset(...); media_storage.py:115-116 if mime_type and not asset.meta_mime_type; media.py:80-84 FileResponse(media_type=asset.meta_mime_type or octet-stream, inline)",,A customer using a non-standard WhatsApp client can declare an HTML/SVG mime on a polyglot image and the operator console renders it as script in the app origin - session/JWT theft on the agency inbox,"Validate the declared mime with media_policy at ingestion, make the validated mime authoritative in store_bytes, serve unknown types as application/octet-stream with attachment disposition",,OPEN,A10-conv-integr,read+grep (static); local python verification where noted,regiao nao alterada nesta branch
F-097,HIGH,HIGH,webhook-timeout/retry-storm,,conversas/app/routers/webhook.py,437,451,_process_incoming_message,"After committing the message the handler still awaits, inline and sequentially per message, mark_as_read (10s), the CRM auto-link (multiple sync SQL round trips incl. lead+funnel+tag INSERTs) and _send_auto_reply_if_needed (15s Meta send), all before returning 200; every DB call is blocking SQLAlchemy inside async def on a single uvicorn worker","await whatsapp.mark_as_read (438), await crm_service.auto_link_conversation (442), await _send_auto_reply_if_needed (447) - worst case over 25s per message times the batch size",,Meta times the delivery out and retries; meanwhile the blocking sync DB calls stall the event loop so unrelated webhooks and API requests queue behind it,Return 200 right after committing the inbound row and move the rest to the existing background path,,ADDRESSED_UNVERIFIED,A10-conv-integr,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-098,HIGH,CONFIRMED,duplicate-send,,conversas/app/routers/webhook.py,497,553,_debounce_then_forward/_forward_to_agent,"The task removes itself from _debounce_tasks after the sleep and BEFORE the agent call, so a message arriving during the 1-4 minute agent call finds no task to cancel and schedules a second concurrent run; the second run cannot see the first run replies because they are recorded with commit=False","_debounce_tasks.pop(conversation_id, None) (509) before await _forward_to_agent (553); last_outbound query (528-531); record_outbound_message(..., commit=False) (670-673) with db.commit() only at 683",,Two Bia executions run concurrently on the same pending messages and both send to the real customer - duplicated interleaved replies plus duplicated tool side effects,"Keep an in-flight marker per conversation_id for the whole duration of _forward_to_agent, not just the sleep",,ADDRESSED_UNVERIFIED,A10-conv-integr,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-099,HIGH,CONFIRMED,resource-exhaustion,,conversas/app/routers/webhook.py,512,557,_debounce_then_forward,"A SessionLocal() is opened before _forward_to_agent and closed only in finally, held open across the n8n agent HTTP call whose read timeout is 240s; pool is pool_size=5 max_overflow=10","db = SessionLocal() (512) ... await _forward_to_agent(...) (553) ... finally db.close() (557); AGENT_TIMEOUT = httpx.Timeout(240.0, connect=10.0) (42)",,"15 concurrent Bia conversations exhaust the pool; every subsequent webhook POST blocks on checkout then 500s, Meta retries, inbound processing stops system-wide","Close the session before the agent call and reopen a short one to persist the reply, or move the agent call off the request session",,ADDRESSED_UNVERIFIED,A10-conv-integr,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-100,HIGH,CONFIRMED,logic/silent-failure,,conversas/app/routers/webhook.py,526,544,_debounce_then_forward,"""Pending"" inbound is computed as messages newer than the LAST OUTBOUND, but _send_auto_reply_if_needed runs AND COMMITS an outbound at line 447 BEFORE the debounce is scheduled at 451 - so the auto-reply is always newer than the customer message and the batch comes back EMPTY",last_outbound query at 528-531 then query.filter(Message.created_at > last_outbound.created_at) at 538; webhook.py:447 precedes 450-451; _save_outbound_message -> record_outbound_message with commit=True default. ORCHESTRATOR RE-VERIFIED THIS BY READING 435-460 AND 500-560,,"Whenever a greeting / out-of-hours / waiting auto-reply actually fires, THE BIA NEVER SEES THAT CUSTOMER MESSAGE AND NEVER ANSWERS. The greeting fires on EVERY NEW CONVERSATION, so the first contact of every new lead is affected; because the waiting reply is deduped for 1h the failure looks intermittent and random in production",Track processing explicitly (a forwarded_at column or a status on inbound Message rows) instead of inferring it from outbound timestamps,,ADDRESSED_UNVERIFIED,PASS2-highrisk,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-101,HIGH,HIGH,availability/data-loss,,conversas/app/routers/webhook.py,68,70,_debounce_tasks,"The 15s reply debounce lives only in a module-level dict of asyncio tasks with no persistence, no shutdown drain and no recovery, while compose runs the container with restart: always","AGENT_DEBOUNCE_SECONDS = 15; _debounce_tasks: dict[int, asyncio.Task] = {} (69-70); asyncio.create_task(_debounce_then_forward(...)) (493); no lifespan shutdown hook",,"Any deploy, crash or restart in the debounce/agent window silently drops the reply: the customer wrote and never gets an answer and nothing flags the conversation","Persist the pending-forward intent and reconcile on startup, or drain outstanding tasks in a lifespan shutdown handler",,ADDRESSED_UNVERIFIED,A10-conv-integr,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-102,HIGH,CONFIRMED,config,,conversas/app/seed.py,20,22,CONVERSAS_SEED_DEV_DATA,ONE env var controls TWO unrelated things: dev data seeding AND which authentication backend the login endpoint uses. It defaults to true because ENVIRONMENT itself defaults to development,"seed.py:20-22 defaults to ""true"" when ENVIRONMENT == development; routers/auth.py:79 if CONVERSAS_SEED_DEV_DATA: selects LOCAL users authentication with _verify_password = SHA-256 instead of proxying to the CRM",,Turning the flag on to get seed data silently downgrades authentication for the whole service from CRM bcrypt + 5/minute rate limit to unsalted SHA-256 with NO rate limit against the shared users table; a deploy that forgets ENVIRONMENT gets that plus /docs and wildcard CORS,"Split the flag, add a separate explicit CONVERSAS_AUTH_MODE, and make ENVIRONMENT default to production",,OPEN,A11-conv-core,read+grep (static); local python verification where noted,arquivo nao alterado nesta branch
F-103,HIGH,CONFIRMED,security,,conversas/app/seed.py,28,53,_hash_password,Writes an UNSALTED SHA-256 password hash into the SHARED users table while the CRM stores and verifies bcrypt via passlib,"seed.py:29-30 hashlib.sha256(password.encode()).hexdigest() used at seed.py:53; app/auth.py:20-31 CryptContext(schemes=[""bcrypt""])",,The row is unusable by the CRM: pwd_context.verify on a bare hex digest raises UnknownHashError so CRM login for that account 500s instead of 401ing; the digest is trivially reversible and lands in the same table as real production credentials,Hash with app.auth.hash_password (bcrypt) or drop the Conversas-side user seed,,OPEN,A11-conv-core,read+grep (static); local python verification where noted,arquivo nao alterado nesta branch
F-104,HIGH,HIGH,schema-divergence,,conversas/app/seed.py,50,58,seed_dev_user,"The INSERT omits users.email_verified, which the CRM declares NOT NULL with only a CLIENT-SIDE default (no server DEFAULT in the DDL)","seed.py:50-57 constructs User(...) from conversas/app/auth.py:22-30 which has no email_verified attribute; app/models/user.py:23 Column(Boolean, default=False, nullable=False) with no server_default",,"Against a CRM-created users table the seed INSERT raises IntegrityError inside the lifespan, so the Conversas container fails to start and restarts forever whenever CONVERSAS_SEED_DEV_DATA is on","Add server_default on the CRM side for columns Conversas cannot know about, or remove user creation from Conversas",,OPEN,A11-conv-core,read+grep (static); local python verification where noted,arquivo nao alterado nesta branch
F-105,HIGH,CONFIRMED,cross-service,,conversas/app/seed.py,54,54,seed_dev_user,"The Conversas service INSERTs into the SHARED users table with role=""admin"" (raw lowercase) through its String(20) declaration, producing exactly the row the CRM cannot read","User(nome=""Admin Dev"", ..., role=""admin"") over conversas/app/auth.py:19 __tablename__ = ""users""; conversas/app/main.py:27 seed_dev_user() runs at every startup, guarded only by CONVERSAS_SEED_DEV_DATA (default true in development)",,With both services on one DATABASE_URL the dev/staging admin becomes a 500-generating row in the CRM; on Postgres the same INSERT fails outright so Conversas cannot boot,"Write ""ADMIN"", or fix the CRM to persist values and normalize the column once",,OPEN,A03-models,read+grep (static); local python verification where noted,arquivo nao alterado nesta branch
F-106,HIGH,CONFIRMED,coverage-gap,,conversas/app/services/crm.py,156,273,auto_link_conversation,EVERY CRM write path is Postgres-only SQL and is STUBBED OUT in every test that could reach it,"crm.py:193 uses '{...}'::jsonb and :156/238/252/272 use NOW(); _noop_false replaces auto_link_conversation in webhook, outbound_integrity, audio, media_foundation, media_storage, media_types, queue, operational_state and service_window tests",,The ENTIRE CRM-integration boundary - including the CRM-down partial-failure path where a conversation is created but the lead insert fails mid-transaction - has ZERO EXECUTABLE COVERAGE and is STRUCTURALLY UNTESTABLE in the SQLite-only harness (SQLite rejects ::jsonb),"Add a Postgres-backed job for the crm.py writer paths, or route those inserts through SQLAlchemy Core so they are dialect-portable",,ADDRESSED_UNVERIFIED,A15b-tests,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-107,HIGH,CONFIRMED,data-contract,,conversas/app/services/crm.py,248,259,auto_create_lead_in_crm,"The raw INSERT into lead_history OMITS the dados column, so it lands as SQL NULL, but the CRM response schema declares it a NON-OPTIONAL dict",app/schemas/pipeline.py:129 dados: dict = {} (not Optional) and app/routers/pipeline.py:765 model_validate; the CRM own writer always supplies it (pipeline.py:41) and Conversas OTHER history INSERT does too (crm.py:161) - only this one does not,,"GET /api/pipeline/history/{lead_id} raises a Pydantic ValidationError and returns 500 for EVERY LEAD AUTO-CREATED FROM WHATSAPP, i.e. exactly the leads the team most needs the timeline for","Add dados to the INSERT with '{}' as crm.py:161 does, or make the field Optional",,ADDRESSED_UNVERIFIED,ARCH-crossfile,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-108,HIGH,CONFIRMED,cross-customer-data-leak,,conversas/app/services/crm.py,31,45,lookup_lead_by_whatsapp,"The lead is matched with whatsapp LIKE percent last-10-digits percent and auto_link_conversation writes that lead id permanently onto the conversation; variables.py then resolves CLIENTE tokens from that lead_id, and its own docstring names this function as unsafe for identity","suffix = normalized[-10:]; WHERE whatsapp LIKE :pattern LIMIT 1 (33-45) then conversation.lead_id = lead_data.get(""id"", 0) (335); variables.py:226-229 states it deliberately does NOT use lookup_lead_by_whatsapp because it could return another customer lead",,A wrong lead binding sends customer B name and e-mail to customer A through template parameters and auto-replies and mis-attributes the whole conversation history,"Match on a normalized exact number, refuse to auto-link when more than one lead matches",,ADDRESSED_UNVERIFIED,A10-conv-integr,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-109,HIGH,CONFIRMED,idempotency,,conversas/app/services/outbound.py,96,130,record_outbound_message,"There is NO uniqueness guarantee of any kind on outbound sends - not in the DB, not in Python. Every call unconditionally INSERTs, and the WhatsApp send happens BEFORE persistence, so a send Meta accepted whose HTTP response timed out is recorded as failed and offered to the retry endpoint",outbound.py:96-108 builds a fresh Message with status sent/failed and no dedupe key; whatsapp.py:136-138 turns a read timeout into _error_result; conversations.py:1097 retry resends the same row,,A customer receives the SAME WhatsApp message twice whenever Meta accepts a send but the response is lost and anyone presses retry; the only DB-enforced uniqueness (messages.whatsapp_msg_id) cannot help because the failed row has wamid NULL,"Generate a dedupe key with a UNIQUE index, insert the row as pending BEFORE calling Meta, and reconcile against Meta rather than blind-retrying",,ADDRESSED_UNVERIFIED,PASS2-highrisk,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-110,HIGH,CONFIRMED,auth,,conversas/static/js/auth.js,32,35,Auth.clearAuth/logout,"Logout only removes the two localStorage keys; the access_token COOKIE written by login.html is never deleted, and the backend accepts that cookie as a full credential",clearAuth removes only TOKEN_KEY and USER_KEY; no document.cookie expiry; app/auth.py:104 reads the cookie,,"After ""Sair"" the session stays valid server-side for the full 8h cookie lifetime; on a shared/kiosk device the next person can hit any /api/ URL and get the previous agent data",Clear the cookie in clearAuth and add a server-side logout that expires it,,OPEN,A12-conv-frontend,read+grep (static); local python verification where noted,regiao nao alterada nesta branch
F-111,HIGH,CONFIRMED,logout,,conversas/static/js/auth.js,62,65,logout,Conversas logout clears only localStorage; it NEVER deletes the access_token cookie it created and there is NO server-side logout endpoint in the service,login.html:213 creates the cookie with max-age=28800; auth.js:62-65 calls only clearAuth() - contrast app/routers/auth.py:102-106 delete_cookie which static/js/auth.js:86-94 DOES call; conversas pages.py:11 then still admits anyone holding that cookie,,"After ""logout"" the browser keeps a VALID 8-HOUR CREDENTIAL; on a shared machine the next user reaches the inbox, and the token still authorizes the CRM too","Add POST /api/auth/logout to conversas that deletes the cookie, and call it before redirecting",,ADDRESSED_UNVERIFIED,ARCH-crossfile,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-112,HIGH,CONFIRMED,race,,conversas/static/js/conversas.js,1889,1911,window._retryMessage,"The retry button has NO in-flight guard: the handler never disables the clicked button and sets no module flag (contrast tplSending at 898/1202), and the backend only rejects on status != failed, checked BEFORE the async WhatsApp call",the handler plus the button built at 2081 which is never disabled,,"A double-click (trivial on touch) sends the same message to the customer TWICE, on the same DB row so the duplicate is invisible in the UI",Disable the button and set an in-flight flag; server-side mark the row sending inside a locking transaction before calling Meta,,ADDRESSED_UNVERIFIED,A12-conv-frontend,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-113,HIGH,CONFIRMED,realtime,,conversas/static/js/conversas.js,1958,1991,renderConversationList,"The polling refresh rebuilds the whole conversation list with innerHTML every 5 seconds, destroying and recreating every row and resetting the .conv-list scroll offset to 0",list.innerHTML = filtered.map(...).join('') called from loadConversations('refresh') on every 5s tick,,An agent CANNOT SCROLL past the first screen of conversations for more than five seconds; on a long Todos list the inbox is effectively unusable and Carregar mais results are yanked back to the top,"Diff-render by data-id, or at minimum save and restore list.scrollTop",,OPEN,A12-conv-frontend,read+grep (static); local python verification where noted,regiao nao alterada nesta branch
F-114,HIGH,CONFIRMED,race,,conversas/static/js/conversas.js,342,361,DOMContentLoaded poll,"The 5s detail poll captures activeConversation.id before the await but never re-checks it after; if the agent opens another conversation while the request is in flight, the OLD conversation payload is assigned to activeConversation and rendered",the fetch then activeConversation = data with no data.id === activeConversation.id guard,,"The open thread is silently replaced by a DIFFERENT customer messages, header and phone number; an agent can reply into the wrong conversation",Capture the id before the fetch and bail on mismatch; same guard for loadChat (783-812),,ADDRESSED_UNVERIFIED,A12-conv-frontend,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-115,HIGH,CONFIRMED,handoff,,conversas/static/js/conversas.js,348,360,DOMContentLoaded poll,"The open conversation is only refreshed when the message COUNT changes or the 24h window flips; atendente_id, responsavel_id, status and tags changes made by other agents are never picked up while the thread stays open",the windowChanged/newCount condition,,Two agents can both see Assumir/Liberar for a conversation someone else already claimed (updateClaimButton reads the stale local copy) and both work the same customer; a conversation closed by a colleague still shows as open,"Compare a server-provided version/updated_at, or re-render whenever any of id/status/atendente_id/responsavel_id/service_window_open/count differ",,OPEN,A12-conv-frontend,read+grep (static); local python verification where noted,regiao nao alterada nesta branch
F-116,HIGH,CONFIRMED,secret-exposure,,conversas/static/js/settings.js,115,115,renderApiConfig,"The Meta webhook verify token is written into a plain input type=""text"" for every authenticated user; GET /api/config is gated only by get_current_user, and the Settings page renders the whole API tab with no client-side role gate",cfgVerifyToken.value = config.meta_verify_token + settings.html:111 + api_config.py:35-41,,"Any agent, or any XSS on any page, can read the webhook verify token in cleartext and use it to complete Meta webhook handshake against the tenant, enabling forged inbound WhatsApp traffic","require_admin on GET /api/config, mask the token as has_verify_token, hide the API tab for non-admins",,RESOLVED,A12-conv-frontend,read+grep (static); local python verification where noted,regiao alterada nesta branch e arquivo coberto por teste de regressao desta auditoria
F-117,HIGH,CONFIRMED,auth,,conversas/templates/login.html,171,213,login script,The session JWT is stored in localStorage AND mirrored into a JavaScript-written cookie with NO HttpOnly and NO Secure flag; the same token has two script-readable homes,"document.cookie = `access_token=Bearer ${data.access_token}; path=/; max-age=28800; SameSite=Lax` at 213, repeated at 171",,Any XSS (see the media findings) exfiltrates a full 8-hour session token; without Secure the cookie is also sent over a plain-HTTP downgrade,Set the cookie server-side on login with HttpOnly; Secure; SameSite=Lax and stop keeping the raw token in localStorage,,ADDRESSED_UNVERIFIED,A12-conv-frontend,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-118,HIGH,CONFIRMED,session-management,,conversas/templates/login.html,210,214,login submit handler,"Any XSS on conversas.*, or a network attacker on any plaintext request to that host. The conversas session cookie is WRITTEN BY CLIENT-SIDE JAVASCRIPT so it cannot be HttpOnly and is not marked Secure; the same token is also mirrored into localStorage. The CRM sets its own cookie correctly, so this is a PER-SERVICE REGRESSION",document.cookie = access_token=Bearer ... (also line 171 on the re-verify path) vs app/routers/auth.py:51-59 httponly+secure,,"Any script execution on the conversas origin steals a token that, BECAUSE OF THE SHARED SECRET_KEY, authenticates against the CRM as well - full account takeover of that agent, including admin",Set the cookie server-side with httponly/secure/samesite and stop mirroring the JWT into localStorage,,ADDRESSED_UNVERIFIED,SEC-threat,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-119,HIGH,CONFIRMED,session-xss,,conversas/templates/login.html,213,213,login submit handler,"Conversas stores the SHARED JWT in a JavaScript-written, non-httpOnly cookie PLUS localStorage, while the CRM issues the same token as an httpOnly cookie - and both services validate it with the SAME SECRET_KEY",app/routers/auth.py:51-59 sets httponly/secure; conversas login.html:213 writes document.cookie with neither; conversas/static/js/auth.js:15 also puts it in localStorage; compose:57 and :115 pass the same key,,Any XSS or malicious dependency on conversas.* reads a token that authorizes the ENTIRE CRM API - the CRM httpOnly protection is NULLIFIED by the sibling host,Set the cookie server-side in the conversas login route and stop writing it from JS,,ADDRESSED_UNVERIFIED,ARCH-crossfile,read+grep (static); local python verification where noted,"regiao alterada nesta branch, sem teste desta auditoria apontando para o arquivo — nao afirmo que o defeito acabou"
F-120,HIGH,HIGH,network-segmentation,,docker-compose.yml,3,141,services / default network,"All four services share one flat default bridge network; n8n - which executes workflow code reachable from inbound WhatsApp webhooks - sits on the same L3 segment as postgres:5432, crm:8000 and conversas:8001",No networks: anywhere; expose: is documentation-only in Compose v2; n8n has HTTP Request and Code nodes by design,,"An n8n workflow can talk straight to postgres:5432 and to both apps internal APIs, bypassing Traefik, TLS and edge rate limiting; lateral movement from the least-trusted component to the database is one hop",Put postgres on a dedicated internal:true backend network joined only by crm/conversas; keep n8n on the frontend network only,,RESOLVED,A14-devops,read+grep (static); local python verification where noted,regiao alterada nesta branch e arquivo coberto por teste de regressao desta auditoria
F-121,HIGH,CONFIRMED,observability/disk,,docker-compose.yml,3,141,logging,No service configures log rotation; Docker json-file grows without bound,no logging: key anywhere; restart:always on all four services; postgresql.conf logs connections/disconnections/ddl and init.sql:52 sets log_statement=all for crm_readonly so every AI query is logged in full,,"A crash loop, or normal AI query volume, writes unrotated logs until the VPS root filesystem fills - at which point postgres cannot write WAL and the whole stack fails in a way that is hard to recover remotely",Add logging max-size/max-file per service or set the daemon default,,RESOLVED,A14-devops,read+grep (static); local python verification where noted,regiao alterada nesta branch e arquivo coberto por teste de regressao desta auditoria
F-122,HIGH,CONFIRMED,schema-race,,docker-compose.yml,48,111,depends_on,"Both services execute Base.metadata.create_all against the SAME database at startup, with different SQLAlchemy minors, ordered only relative to postgres and never relative to each other",app/main.py:64 and conversas/app/main.py:26; both depends_on postgres service_healthy; sqlalchemy 2.0.35 vs 2.0.40,,"Both containers are released the moment postgres reports healthy, so first boot after any model addition runs concurrent CREATE TABLE / CREATE INDEX from two SQLAlchemy versions on one database - DuplicateTable errors, lock contention and a coin flip over whose reflection wins","Run schema creation once from a dedicated one-shot job, remove create_all from both lifespans, align sqlalchemy pins",,RESOLVED,A14-devops,read+grep (static); local python verification where noted,regiao alterada nesta branch e arquivo coberto por teste de regressao desta auditoria
F-123,HIGH,CONFIRMED,config-drift,,docker-compose.yml,51,61,crm.environment,"Twelve variables documented in .env.example never reach the CRM container: there is no env_file: and they are absent from environment:, so production silently runs on placeholder defaults","crm environment lists only 8 vars; missing but read by code and documented: MAIL_USERNAME/PASSWORD/FROM/PORT/SERVER/FROM_NAME, APP_DOMAIN, SEED_INITIAL_ADMIN, ADMIN_INITIAL_EMAIL, ACCESS_TOKEN_EXPIRE_MINUTES, MAX_UPLOAD_SIZE_BYTES, API_KEY_EXPIRY_DAYS, INTERNAL_AI_AUTH_MAX_SKEW_SECONDS",,"Production SMTP runs with the literal placeholder credentials so any mail feature fails or authenticates with junk, and APP_DOMAIN stays http://127.0.0.1:8000 so every link mail_service.py builds points at localhost",Add env_file: .env to the crm service and assert MAIL_*/APP_DOMAIN are not placeholders when ENVIRONMENT=production,,RESOLVED,A14-devops,read+grep (static); local python verification where noted,regiao alterada nesta branch e arquivo coberto por teste de regressao desta auditoria
F-124,HIGH,CONFIRMED,bootstrap/config,,docker-compose.yml,58,58,ADMIN_INITIAL_PASSWORD,"Compose hard-requires a secret the running code can never use, and there is consequently no supported way to create the first admin in production",line 58 uses :? so it is mandatory; SEED_INITIAL_ADMIN appears nowhere in compose so config.py:62-63 defaults it to false because ENVIRONMENT=production; app/seed.py:19-20 then logs seed disabled and returns,,Operators must place a real admin password in .env where it lingers unused while the account it creates is never made; first login on a fresh volume is impossible without manual SQL,"Pass SEED_INITIAL_ADMIN through and make the password conditional, or drop the :? and document a docker compose exec bootstrap",,RESOLVED,A14-devops,read+grep (static); local python verification where noted,regiao alterada nesta branch e arquivo coberto por teste de regressao desta auditoria
F-125,HIGH,CONFIRMED,compose-completeness,,docker-compose.yml,62,136,traefik labels / networks,"Every service carries traefik routing labels but the file declares NO networks: key and publishes NO host ports, so nothing in the repo connects these containers to the EXTERNAL Traefik",grep -n networks docker-compose.yml -> no match; services use expose: only; labels reference a letsencrypt certresolver defined in a compose project not in this repo,,The compose file is not self-contained: a rebuild from scratch produces three unreachable containers and the working state depends on an undocumented manual docker network connect that deploy.yml never performs - disaster recovery is unreproducible,"Declare an external network, attach crm/conversas/n8n, keep postgres internal-only, add traefik.docker.network labels",,RESOLVED,A14-devops,read+grep (static); local python verification where noted,regiao alterada nesta branch e arquivo coberto por teste de regressao desta auditoria
F-126,HIGH,CONFIRMED,auth/availability,,docker-compose.yml,69,96,n8n service,"n8n is published at a public HTTPS hostname with NO authentication env, NO N8N_ENCRYPTION_KEY and an UNPINNED image tag",no N8N_BASIC_AUTH_*/N8N_USER_MANAGEMENT_* in 75-88; line 70 image with no tag = :latest; no encryption key; no healthcheck,,Whoever reaches n8n.crmbrasileirosnoatacama.cloud before the owner is set claims the owner account and inherits every workflow and credential; without a fixed encryption key stored credentials are undecryptable after a volume restore; :latest lets a pull cross a breaking major version,"Pin a version tag, set N8N_ENCRYPTION_KEY, verify the owner account exists, add a Traefik basicauth/IP-allowlist in front",,BLOCKED_OPERATOR,A14-devops,read+grep (static); local python verification where noted,"correcao fora do repositorio (segredo, historico git, banco, n8n, Traefik ou VPS) — proibida por esta missao"
F-127,HIGH,CONFIRMED,secrets-exposure,,docker-compose.yml,84,86,N8N_RESTRICT_ENVIRONMENT_VARIABLES_ACCESS,"n8n is explicitly configured to let workflow expressions and Code nodes read the process environment, which holds the Meta WhatsApp access token",line 84 N8N_RESTRICT_ENVIRONMENT_VARIABLES_ACCESS=false; line 86 META_ACCESS_TOKEN in the same container,,"Any workflow can read $env.META_ACCESS_TOKEN and exfiltrate the WhatsApp Business token, allowing sending as the business and reading the WABA",Set the flag true and move the Meta token into an n8n credential object,,OPEN,A14-devops,read+grep (static); local python verification where noted,regiao nao alterada nesta branch
F-128,HIGH,CONFIRMED,trust-boundary,,docker-compose.yml,91,96,n8n traefik labels,n8n is PUBLISHED TO THE PUBLIC INTERNET and every workflow webhook that fronts a privileged agent has NO authentication configured,"the Webhook Gerenciador, Webhook Mensagem and Webhook Notificacao nodes all have authentication unset while the tool nodes in the same workflows carry the CRM API key credential and POST/PUT to /api/leads, /api/pipeline/... and /api/tasks; conversas webhook.py:648 also calls this same unauthenticated path internally",,"Anyone on the internet can POST to /webhook/gerenciador-leads and drive an LLM that HOLDS A VALID CRM API KEY - creating, mutating and re-assigning leads and moving pipeline stages - and to /webhook/notificacao to send WhatsApp messages from the business number","Header auth on those webhook nodes with a shared secret, or drop the public Traefik router for n8n",,BLOCKED_OPERATOR,ARCH-crossfile,read+grep (static); local python verification where noted,"correcao fora do repositorio (segredo, historico git, banco, n8n, Traefik ou VPS) — proibida por esta missao"
F-129,HIGH,CONFIRMED,security,,docker/postgres/init-hardening.sh,14,14,CRM_READONLY_PASSWORD default,Hardcoded fallback password for a role with SELECT on every table,${CRM_READONLY_PASSWORD:-crm_readonly_secret} - the :- default fires when unset OR empty in any path outside compose (which alone enforces :?),,"Anyone reaching 5432 from the Docker/RFC1918 range with that guessable password reads all leads, users and conversations",Remove the default and fail loudly with :?,,OPEN,A13-db,read+grep (static); local python verification where noted,arquivo nao alterado nesta branch
F-130,HIGH,HIGH,security/privileges,,docker/postgres/init.sql,16,21,ALTER DEFAULT PRIVILEGES FOR USER crm_user,"The readonly role access to FUTURE tables hinges entirely on tables being created by exactly crm_user, and the retroactive GRANT at line 21 runs against a still-EMPTY database and grants nothing","init.sql:17-18 and :21 both execute during initdb, BEFORE either app has called create_all (app/main.py:64, conversas/app/main.py:26)",,"Any table created by a different role - a pg_restore run as postgres, a manual migration by an admin, a future second app user - is invisible to crm_readonly with no error at creation time; the AI SQL tool starts returning permission denied only when someone finally queries it, i.e. AFTER the restore","ALTER DEFAULT PRIVILEGES for every role that can create tables, and re-run the retroactive GRANT as a post-deploy/post-restore step",,BLOCKED_OPERATOR,A13-db,read+grep (static); local python verification where noted,"correcao fora do repositorio (segredo, historico git, banco, n8n, Traefik ou VPS) — proibida por esta missao"
F-131,HIGH,HIGH,security,,docker/postgres/init.sql,28,34,ALTER USER crm_user CONNECTION LIMIT 30,"The whole hardening block is applied to crm_user, which the postgres image creates as a SUPERUSER - superusers are exempt from CONNECTION LIMIT and bypass every schema-level REVOKE; init.sql never demotes it","init.sql:28,32-34; docker-compose.yml:10 POSTGRES_USER defaults to crm_user and the image always creates POSTGRES_USER with SUPERUSER CREATEDB CREATEROLE; no ALTER USER crm_user NOSUPERUSER anywhere in the repo",,"Both FastAPI services run every query as a database SUPERUSER: any SQL injection reaches COPY ... TO PROGRAM (host command execution), can DROP any table, and the 30-connection cap the pool sizing assumes is NOT enforced","After create_all bootstraps the schema, ALTER ROLE crm_user NOSUPERUSER and grant only CONNECT/USAGE/CRUD+CREATE; keep a separate superuser for maintenance",,BLOCKED_OPERATOR,A13-db,read+grep (static); local python verification where noted,"correcao fora do repositorio (segredo, historico git, banco, n8n, Traefik ou VPS) — proibida por esta missao"
